dataset,model_id,sigma_bin,metric_name,scale_delta,cycle_len,value_mean,value_std,num_points
toy,M0,-1,exact_jacobian_asymmetry_2d,,,0.004952644929289818,0.0,1
toy,M0,-1,pathvar,,,1.2857282172262785e-06,0.0,1
toy,M0,0,r_cycle,,3,1.925807237625122,0.0,1
toy,M0,0,r_cycle,,4,1.5629854202270508,0.0,1
toy,M0,0,r_cycle,,5,3.240875005722046,0.0,1
toy,M0,0,r_cycle_total,,,2.24322247505188,0.0,1
toy,M0,0,r_loop_multi,0.02,,2.2327120152709767e-09,0.0,1
toy,M0,0,r_loop_multi,0.05,,5.317864548715079e-08,0.0,1
toy,M0,0,r_loop_multi,0.1,,6.933557301636029e-07,0.0,1
toy,M0,0,r_loop_multi_total,,,2.4958902145044704e-07,0.0,1
toy,M0,0,r_sym,,,1.908148169517517,0.0,1
toy,M0,1,r_cycle,,3,0.41139909625053406,0.0,1
toy,M0,1,r_cycle,,4,1.008592963218689,0.0,1
toy,M0,1,r_cycle,,5,1.4197190999984741,0.0,1
toy,M0,1,r_cycle_total,,,0.9465703964233398,0.0,1
toy,M0,1,r_loop_multi,0.02,,4.091676164552638e-10,0.0,1
toy,M0,1,r_loop_multi,0.05,,1.2695554829633693e-08,0.0,1
toy,M0,1,r_loop_multi,0.1,,2.0809901002394326e-07,0.0,1
toy,M0,1,r_loop_multi_total,,,7.373457577841691e-08,0.0,1
toy,M0,1,r_sym,,,0.11449427902698517,0.0,1
toy,M0,2,r_cycle,,3,1.361006259918213,0.0,1
toy,M0,2,r_cycle,,4,1.8948707580566406,0.0,1
toy,M0,2,r_cycle,,5,2.8345885276794434,0.0,1
toy,M0,2,r_cycle_total,,,2.0301551818847656,0.0,1
toy,M0,2,r_loop_multi,0.02,,7.66061034052079e-11,0.0,1
toy,M0,2,r_loop_multi,0.05,,2.447402502880891e-09,0.0,1
toy,M0,2,r_loop_multi,0.1,,5.353271959052108e-08,0.0,1
toy,M0,2,r_loop_multi_total,,,1.8685575753352168e-08,0.0,1
toy,M0,2,r_sym,,,0.010144373401999474,0.0,1
toy,M0,3,r_cycle,,3,1.1169185638427734,0.0,1
toy,M0,3,r_cycle,,4,1.654728889465332,0.0,1
toy,M0,3,r_cycle,,5,2.663170576095581,0.0,1
toy,M0,3,r_cycle_total,,,1.8116060495376587,0.0,1
toy,M0,3,r_loop_multi,0.02,,2.0548158660704807e-11,0.0,1
toy,M0,3,r_loop_multi,0.05,,7.929792378291722e-10,0.0,1
toy,M0,3,r_loop_multi,0.1,,1.3427870371174322e-08,0.0,1
toy,M0,3,r_loop_multi_total,,,4.7471324648995505e-09,0.0,1
toy,M0,3,r_sym,,,0.0009833405492827296,0.0,1
toy,M0,4,r_cycle,,3,3.6687402725219727,0.0,1
toy,M0,4,r_cycle,,4,5.505113124847412,0.0,1
toy,M0,4,r_cycle,,5,7.581369876861572,0.0,1
toy,M0,4,r_cycle_total,,,5.585073947906494,0.0,1
toy,M0,4,r_loop_multi,0.02,,5.5590623250501014e-12,0.0,1
toy,M0,4,r_loop_multi,0.05,,2.0261241295838062e-10,0.0,1
toy,M0,4,r_loop_multi,0.1,,2.7000894853301816e-09,0.0,1
toy,M0,4,r_loop_multi_total,,,9.694203217947006e-10,0.0,1
toy,M0,4,r_sym,,,0.000135045891511254,0.0,1
