dataset,model_id,sigma_bin,metric_name,scale_delta,cycle_len,value_mean,value_std,num_points
toy,M0,-1,exact_jacobian_asymmetry_2d,,,0.00574133824557066,0.0,1
toy,M0,-1,pathvar,,,2.139736068329512e-07,0.0,1
toy,M0,0,r_cycle,,3,1.1328705549240112,0.0,1
toy,M0,0,r_cycle,,4,1.549004316329956,0.0,1
toy,M0,0,r_cycle,,5,1.6900545358657837,0.0,1
toy,M0,0,r_cycle_total,,,1.4573097229003906,0.0,1
toy,M0,0,r_loop_multi,0.02,,1.9114581029100464e-09,0.0,1
toy,M0,0,r_loop_multi,0.05,,4.703888834001191e-08,0.0,1
toy,M0,0,r_loop_multi,0.1,,6.59035720218526e-07,0.0,1
toy,M0,0,r_loop_multi_total,,,2.3599535836638097e-07,0.0,1
toy,M0,0,r_sym,,,1.224558711051941,0.0,1
toy,M0,1,r_cycle,,3,0.7112249135971069,0.0,1
toy,M0,1,r_cycle,,4,1.2211596965789795,0.0,1
toy,M0,1,r_cycle,,5,1.9034044742584229,0.0,1
toy,M0,1,r_cycle_total,,,1.2785964012145996,0.0,1
toy,M0,1,r_loop_multi,0.02,,3.9295208753564737e-10,0.0,1
toy,M0,1,r_loop_multi,0.05,,1.4373512158272206e-08,0.0,1
toy,M0,1,r_loop_multi,0.1,,1.9278664353805652e-07,0.0,1
toy,M0,1,r_loop_multi_total,,,6.918437378544695e-08,0.0,1
toy,M0,1,r_sym,,,0.12011721730232239,0.0,1
toy,M0,2,r_cycle,,3,1.0626487731933594,0.0,1
toy,M0,2,r_cycle,,4,1.9017257690429688,0.0,1
toy,M0,2,r_cycle,,5,3.0437228679656982,0.0,1
toy,M0,2,r_cycle_total,,,2.002699136734009,0.0,1
toy,M0,2,r_loop_multi,0.02,,9.737754352867611e-11,0.0,1
toy,M0,2,r_loop_multi,0.05,,3.0981834875376535e-09,0.0,1
toy,M0,2,r_loop_multi,0.1,,5.3339419991971226e-08,0.0,1
toy,M0,2,r_loop_multi_total,,,1.8844993121547304e-08,0.0,1
toy,M0,2,r_sym,,,0.009107268415391445,0.0,1
toy,M0,3,r_cycle,,3,2.155825138092041,0.0,1
toy,M0,3,r_cycle,,4,2.5518035888671875,0.0,1
toy,M0,3,r_cycle,,5,5.821634292602539,0.0,1
toy,M0,3,r_cycle_total,,,3.509754180908203,0.0,1
toy,M0,3,r_loop_multi,0.02,,2.2844667130206275e-11,0.0,1
toy,M0,3,r_loop_multi,0.05,,7.863572570876443e-10,0.0,1
toy,M0,3,r_loop_multi,0.1,,1.487564738056335e-08,0.0,1
toy,M0,3,r_loop_multi_total,,,5.22828313975765e-09,0.0,1
toy,M0,3,r_sym,,,0.0009312207694165409,0.0,1
toy,M0,4,r_cycle,,3,0.7437374591827393,0.0,1
toy,M0,4,r_cycle,,4,0.8904944062232971,0.0,1
toy,M0,4,r_cycle,,5,1.4780436754226685,0.0,1
toy,M0,4,r_cycle_total,,,1.03742516040802,0.0,1
toy,M0,4,r_loop_multi,0.02,,4.679322901379734e-12,0.0,1
toy,M0,4,r_loop_multi,0.05,,1.6369146316197458e-10,0.0,1
toy,M0,4,r_loop_multi,0.1,,2.5601849529266474e-09,0.0,1
toy,M0,4,r_loop_multi_total,,,9.095186270791089e-10,0.0,1
toy,M0,4,r_sym,,,0.0001377357548335567,0.0,1
toy,M0,5,r_cycle,,3,0.7937625050544739,0.0,1
toy,M0,5,r_cycle,,4,2.307323694229126,0.0,1
toy,M0,5,r_cycle,,5,2.3437082767486572,0.0,1
toy,M0,5,r_cycle_total,,,1.8149315118789673,0.0,1
toy,M0,5,r_loop_multi,0.02,,5.585697377720467e-13,0.0,1
toy,M0,5,r_loop_multi,0.05,,2.1880074141389372e-11,0.0,1
toy,M0,5,r_loop_multi,0.1,,3.38095273999528e-10,0.0,1
toy,M0,5,r_loop_multi_total,,,1.2017796480190412e-10,0.0,1
toy,M0,5,r_sym,,,1.6272741049760953e-05,0.0,1
toy,M0,6,r_cycle,,3,0.2401406615972519,0.0,1
toy,M0,6,r_cycle,,4,0.5743798017501831,0.0,1
toy,M0,6,r_cycle,,5,0.9135404825210571,0.0,1
toy,M0,6,r_cycle_total,,,0.5760203003883362,0.0,1
toy,M0,6,r_loop_multi,0.02,,2.2950786304526578e-14,0.0,1
toy,M0,6,r_loop_multi,0.05,,1.1897444834874094e-12,0.0,1
toy,M0,6,r_loop_multi,0.1,,1.6436190949931095e-11,0.0,1
toy,M0,6,r_loop_multi_total,,,5.882962086228849e-12,0.0,1
toy,M0,6,r_sym,,,9.958448572433554e-07,0.0,1
toy,M0,7,r_cycle,,3,0.17378263175487518,0.0,1
toy,M0,7,r_cycle,,4,0.17898884415626526,0.0,1
toy,M0,7,r_cycle,,5,0.14426088333129883,0.0,1
toy,M0,7,r_cycle_total,,,0.16567744314670563,0.0,1
toy,M0,7,r_loop_multi,0.02,,6.766909157923163e-16,0.0,1
toy,M0,7,r_loop_multi,0.05,,2.6506506950289832e-14,0.0,1
toy,M0,7,r_loop_multi,0.1,,3.3969593631055783e-13,0.0,1
toy,M0,7,r_loop_multi_total,,,1.2229304483142578e-13,0.0,1
toy,M0,7,r_sym,,,2.7567196525524196e-08,0.0,1
toy,M1,-1,exact_jacobian_asymmetry_2d,,,0.005340973846614361,0.0,1
